drug1	drug2	Label
DB04571	DB00460	1
DB00855	DB00460	1
DB09536	DB00460	1
DB01600	DB00460	1
DB09000	DB00460	1
DB11630	DB00460	1
DB00553	DB00460	1
DB06261	DB00460	1
DB01878	DB00460	1
DB00140	DB00460	1
DB00821	DB00460	1
DB08897	DB11315	2
DB08897	DB00424	2
DB00670	DB06148	2
DB01116	DB06148	2
DB00391	DB00517	2
DB09076	DB01090	2
DB01071	DB01168	2
DB00391	DB00462	2
DB08897	DB00732	2
DB01409	DB00810	2
DB00986	DB00332	2
DB00434	DB00805	2
DB00391	DB00670	2
DB01409	DB00496	2
DB08897	DB01409	2
DB06153	DB00182	2
DB09076	DB06702	2
DB01409	DB00967	2
DB00391	DB00219	2
DB00366	DB01037	2
DB00986	DB00670	2
DB00517	DB06148	2
DB09076	DB01339	2
DB00283	DB01247	2
DB00986	DB01090	2
DB00366	DB01168	2
DB08897	DB00387	2
DB00387	DB06148	2
DB01409	DB01036	2
DB00657	DB06148	2
DB08897	DB01090	2
DB01591	DB06148	2
DB09076	DB00572	2
DB08897	DB00940	2
DB09076	DB09300	2
DB00434	DB01247	2
DB00782	DB06148	2
DB00986	DB00732	2
DB08897	DB00782	2
DB00986	DB01116	2
DB09076	DB00670	2
DB00366	DB01247	2
DB01409	DB01591	2
DB00986	DB00747	2
DB00986	DB00517	2
DB00366	DB00182	2
DB01071	DB09244	2
DB00391	DB09076	2
DB00391	DB01591	2
DB01071	DB00780	2
DB00986	DB01199	2
DB00434	DB01037	2
DB00986	DB01591	2
DB08897	DB00332	2
DB01090	DB06148	2
DB09076	DB08897	2
DB00434	DB01171	2
DB00391	DB01199	2
DB09076	DB00387	2
DB00366	DB01367	2
DB00391	DB00209	2
DB00391	DB00732	2
DB09076	DB00332	2
DB00283	DB00614	2
DB00391	DB00908	2
DB09076	DB00483	2
DB11315	DB06148	2
DB08897	DB00517	2
DB08897	DB12278	2
DB00986	DB00908	2
DB00391	DB01116	2
DB08897	DB06148	2
DB01409	DB00462	2
DB01409	DB00657	2
DB00283	DB09244	2
DB00986	DB12278	2
DB09076	DB11315	2
DB00986	DB00424	2
DB00219	DB06148	2
DB01409	DB06702	2
DB00391	DB00782	2
DB01409	DB00376	2
DB00424	DB06148	2
DB00366	DB09244	2
DB06153	DB00752	2
DB00340	DB06148	2
DB00986	DB00572	2
DB00986	DB01062	2
DB00986	DB00219	2
DB01409	DB00986	2
DB08897	DB00209	2
DB06153	DB00614	2
DB08897	DB01036	2
DB00366	DB09241	2
DB09076	DB01036	2
DB01071	DB00805	2
DB06153	DB01171	2
DB09076	DB00209	2
DB08897	DB06702	2
DB00391	DB00332	2
DB09076	DB00376	2
DB01409	DB00908	2
DB01071	DB01171	2
DB00986	DB00915	2
DB12278	DB06148	2
DB01409	DB00387	2
DB00434	DB01168	2
DB00391	DB00967	2
DB08897	DB01338	2
DB08897	DB01339	2
DB09076	DB00657	2
DB00376	DB06148	2
DB01409	DB00392	2
DB00986	DB01338	2
DB01409	DB00782	2
DB01339	DB06148	2
DB01409	DB00572	2
DB09076	DB00809	2
DB01409	DB01090	2
DB00283	DB00805	2
DB00366	DB09245	2
DB00434	DB00752	2
DB09076	DB00908	2
DB00283	DB01171	2
DB01409	DB00209	2
DB01409	DB06148	2
DB08897	DB09300	2
DB00391	DB00424	2
DB01409	DB11315	2
DB08897	DB00986	2
DB01338	DB06148	2
DB08897	DB00219	2
DB06153	DB01168	2
DB00391	DB01338	2
DB01409	DB00332	2
DB00391	DB01339	2
DB08897	DB00747	2
DB00434	DB00182	2
DB00986	DB00209	2
DB00986	DB01173	2
DB00366	DB00752	2
DB01173	DB06148	2
DB00366	DB00614	2
DB01409	DB00670	2
DB09076	DB00219	2
DB00986	DB00967	2
DB00332	DB06148	2
DB00434	DB01367	2
DB00986	DB06148	2
DB00391	DB01036	2
DB00391	DB01337	2
DB00391	DB00940	2
DB09076	DB00424	2
DB09076	DB00782	2
DB00391	DB00392	2
DB00366	DB01171	2
DB00986	DB00462	2
DB01409	DB00219	2
DB01337	DB06148	2
DB09076	DB01199	2
DB08897	DB00340	2
DB00283	DB01168	2
DB08897	DB01199	2
DB00986	DB00376	2
DB09076	DB01409	2
DB08897	DB00670	2
DB00391	DB00657	2
DB08897	DB00462	2
DB09076	DB00979	2
DB00809	DB06148	2
DB00391	DB00810	2
DB00391	DB00496	2
DB08897	DB01116	2
DB00391	DB12278	2
DB09076	DB01116	2
DB09076	DB00732	2
DB00391	DB00809	2
DB00986	DB00657	2
DB01071	DB01626	2
DB00283	DB01367	2
DB01036	DB06148	2
DB00245	DB06148	2
DB09076	DB00340	2
DB01409	DB01173	2
DB09076	DB12278	2
DB00986	DB06702	2
DB06153	DB01247	2
DB09300	DB06148	2
DB01071	DB01037	2
DB08897	DB00908	2
DB06153	DB01367	2
DB00434	DB09245	2
DB00483	DB06148	2
DB00986	DB00979	2
DB00434	DB09241	2
DB08897	DB01591	2
DB00986	DB00387	2
DB08897	DB00376	2
DB00804	DB06148	2
DB06153	DB09244	2
DB08897	DB00657	2
DB01409	DB01199	2
DB00391	DB01409	2
DB00391	DB00245	2
DB08897	DB00809	2
DB06153	DB01037	2
DB00986	DB00782	2
DB01071	DB01247	2
DB09076	DB01337	2
DB00391	DB01090	2
DB09076	DB00804	2
DB00391	DB00483	2
DB09076	DB01338	2
DB09076	DB00967	2
DB09076	DB06148	2
DB00496	DB06148	2
DB00366	DB01626	2
DB00283	DB00182	2
DB01071	DB01367	2
DB00434	DB09244	2
DB00732	DB06148	2
DB00392	DB06148	2
DB06153	DB00780	2
DB01071	DB09245	2
DB00986	DB00940	2
DB08897	DB00979	2
DB01071	DB00182	2
DB01071	DB09241	2
DB01409	DB01062	2
DB00391	DB00340	2
DB00810	DB06148	2
DB00391	DB00804	2
DB01409	DB00424	2
DB00747	DB06148	2
DB00986	DB00810	2
DB00979	DB06148	2
DB00283	DB01626	2
DB08897	DB00810	2
DB00986	DB00392	2
DB01409	DB09300	2
DB00434	DB00780	2
DB00391	DB00747	2
DB00986	DB01337	2
DB00391	DB00572	2
DB06153	DB01626	2
DB00366	DB00805	2
DB09076	DB00810	2
DB00391	DB11315	2
DB01071	DB00752	2
DB08897	DB00804	2
DB00434	DB01626	2
DB00940	DB06148	2
DB00366	DB00780	2
DB09076	DB00245	2
DB00391	DB00986	2
DB00209	DB06148	2
DB01199	DB06148	2
DB01071	DB00614	2
DB00283	DB00780	2
DB08897	DB00483	2
DB00391	DB09300	2
DB09076	DB01173	2
DB00283	DB00752	2
DB00572	DB06148	2
DB00391	DB00387	2
DB01409	DB00747	2
DB00391	DB00376	2
DB08897	DB00245	2
DB00986	DB00496	2
DB01409	DB01116	2
DB08897	DB01173	2
DB00434	DB00614	2
DB00908	DB06148	2
DB00986	DB00809	2
DB00391	DB08897	2
DB00986	DB00804	2
DB00462	DB06148	2
DB01409	DB00340	2
DB00391	DB00979	2
DB01062	DB06148	2
DB09076	DB00517	2
DB08897	DB00967	2
DB08897	DB01062	2
DB01409	DB00940	2
DB01409	DB00245	2
DB09076	DB00986	2
DB00986	DB01339	2
DB09076	DB00392	2
DB00986	DB11315	2
DB09076	DB00496	2
DB00986	DB00245	2
DB00986	DB01036	2
DB01409	DB00804	2
DB09076	DB01591	2
DB01409	DB00979	2
DB09076	DB00940	2
DB01409	DB00517	2
DB08897	DB01337	2
DB01409	DB00809	2
DB01409	DB12278	2
DB09076	DB00747	2
DB00283	DB09245	2
DB01409	DB00483	2
DB09076	DB01062	2
DB06153	DB00805	2
DB08897	DB00496	2
DB00283	DB01037	2
DB01409	DB00732	2
DB00391	DB06702	2
DB00986	DB00483	2
DB00986	DB09300	2
DB08897	DB00392	2
DB09076	DB00462	2
DB00967	DB06148	2
DB00986	DB00340	2
DB01409	DB01338	2
DB01409	DB01339	2
DB06153	DB09245	2
DB00391	DB01062	2
DB01409	DB01337	2
DB06153	DB09241	2
DB00283	DB09241	2
DB08897	DB00572	2
DB09275	DB04574	3
DB09275	DB00635	3
DB03754	DB00860	3
DB01370	DB00588	3
DB09104	DB00860	3
DB06724	DB01130	3
DB06723	DB00588	3
DB13595	DB00635	3
DB09281	DB08970	3
DB03754	DB00741	3
DB09281	DB01047	3
DB01377	DB11921	3
DB06723	DB00959	3
DB01390	DB00764	3
DB09281	DB00394	3
DB01377	DB04574	3
DB01370	DB09095	3
DB09275	DB00253	3
DB01370	DB09091	3
DB09104	DB00443	3
DB13595	DB00596	3
DB06724	DB00663	3
DB13595	DB00591	3
DB03754	DB00687	3
DB01390	DB08905	3
DB09281	DB00240	3
DB06724	DB00547	3
DB01390	DB08906	3
DB06724	DB01047	3
DB03754	DB13158	3
DB09275	DB00959	3
DB13595	DB00741	3
DB09275	DB00223	3
DB01390	DB00288	3
DB01377	DB02187	3
DB06723	DB00253	3
DB09281	DB01410	3
DB13595	DB00896	3
DB09104	DB09095	3
DB09104	DB09091	3
DB06724	DB00896	3
DB08938	DB00394	3
DB08938	DB00764	3
DB03754	DB01234	3
DB09104	DB00591	3
DB09104	DB00596	3
DB03754	DB00635	3
DB13595	DB00443	3
DB08938	DB00620	3
DB06724	DB01260	3
DB06724	DB13158	3
DB03754	DB00223	3
DB13595	DB06786	3
DB13595	DB06781	3
DB06723	DB11921	3
DB06723	DB00223	3
DB09275	DB11921	3
DB06723	DB00655	3
DB09104	DB00180	3
DB01370	DB01130	3
DB01390	DB00860	3
DB06723	DB01708	3
DB01377	DB00588	3
DB03754	DB06781	3
DB09104	DB00620	3
DB06724	DB08905	3
DB09104	DB00741	3
DB01377	DB00180	3
DB09275	DB01384	3
DB09275	DB01380	3
DB01370	DB00547	3
DB09104	DB08905	3
DB09104	DB08906	3
DB09275	DB00596	3
DB01370	DB00896	3
DB09281	DB08971	3
DB01390	DB06781	3
DB01377	DB00635	3
DB06724	DB00443	3
DB03754	DB00253	3
DB08938	DB00860	3
DB06724	DB11921	3
DB06724	DB04574	3
DB01377	DB00288	3
DB08938	DB00547	3
DB01377	DB01234	3
DB09281	DB01222	3
DB08938	DB08906	3
DB08938	DB08905	3
DB01370	DB01260	3
DB03754	DB00896	3
DB03754	DB00959	3
DB09275	DB00180	3
DB13595	DB01130	3
DB08938	DB01047	3
DB09281	DB00324	3
DB09275	DB09091	3
DB09275	DB09095	3
DB09281	DB01130	3
DB13595	DB00663	3
DB01370	DB00223	3
DB06723	DB00687	3
DB09275	DB00591	3
DB09281	DB06786	3
DB06723	DB00860	3
DB09275	DB00324	3
DB01377	DB09091	3
DB09281	DB06781	3
DB01390	DB00635	3
DB01390	DB00223	3
DB08938	DB08971	3
DB06723	DB13158	3
DB01390	DB00180	3
DB09281	DB09091	3
DB09281	DB09095	3
DB06724	DB00591	3
DB06724	DB00596	3
DB09104	DB01380	3
DB09104	DB01384	3
DB01377	DB06786	3
DB09281	DB01260	3
DB06724	DB00394	3
DB08938	DB00896	3
DB06723	DB00591	3
DB01377	DB00547	3
DB06723	DB00596	3
DB09281	DB00588	3
DB01370	DB11921	3
DB13595	DB00846	3
DB09104	DB00253	3
DB06724	DB00687	3
DB13595	DB00240	3
DB08938	DB04574	3
DB08938	DB06786	3
DB08938	DB06781	3
DB01390	DB11921	3
DB01377	DB08970	3
DB06724	DB01234	3
DB06724	DB00324	3
